住所,lat,lon,位置精度,価格時点年,公示m2単価円,坪単価万円,相続税路線価,地積m2,前面道路幅員m,用途地域,建蔽率,容積率,最寄交通施設,交通距離m,周辺利用状況
浜松市中央区三島町字市八88番1外,34.688896,137.745956,exact,2026,70600,23.3,55000,476,20.0,都市計画区域外,60,200,浜松,1700,店舗、営業所が混在する幹線道路沿いの商業地域
浜松市中央区三方原町1494番3,34.781647,137.711975,exact,2026,60500,20.0,0,328,7.2,指定なし（用途地域外）,60,200,浜松,10000,一般住宅と農地等が混在する郊外の住宅地域
浜松市中央区上島3-23-28,34.737988,137.740402,exact,2026,113000,37.4,85000,211,6.0,白地地域（都市計画区域内未指定）,60,200,上島,400,戸建住宅を中心に事務所等も見られる住宅地域
浜松市中央区上西町字川田26番8,34.723351,137.758957,exact,2026,98800,32.7,75000,279,6.0,白地地域（都市計画区域内未指定）,60,200,浜松,3300,住宅の中に空地が見られる区画整理済の住宅地域
浜松市中央区下池川町20-4,34.716984,137.727432,exact,2026,115000,38.0,90000,140,25.0,第二種中高層住居専用地域,80,300,浜松,1800,小売店舗と事務所等が混在する路線商業地域
浜松市中央区下石田町字中芝間1025番2,34.7402,137.783447,exact,2026,67800,22.4,51000,208,5.5,白地地域（都市計画区域内未指定）,60,200,浜松,7400,一般住宅の中に営業所等が見られる住宅地域
浜松市中央区下石田町字中芝間987番1外,34.7402,137.783447,exact,2026,80600,26.6,62000,1377,25.0,その他,60,200,浜松,7300,店舗のほかに営業所等が混在する路線商業地域
浜松市中央区中央1-8-27,34.711075,137.73584,exact,2026,334000,110.4,235000,1472,40.0,第二種中高層住居専用地域,80,300,浜松,980,マンション、官公署が見られる区画整理済の地域
浜松市中央区中島3-11-9,34.705391,137.746933,exact,2026,80600,26.6,63000,231,5.5,白地地域（都市計画区域内未指定）,60,200,浜松,1500,住宅、アパート、工場等が混在する既成住宅地域
浜松市中央区中沢町2-16,34.721622,137.728867,exact,2026,88500,29.3,69000,178,5.0,特定用途制限地域など特例,60,200,浜松,2600,中規模一般住宅が多い既成の住宅地域
浜松市中央区中郡町字万斛東1815番1,34.773895,137.77951,exact,2026,58000,19.2,0,284,10.0,指定なし（用途地域外）,60,200,浜松,9700,一般住宅のほかに店舗等も見られる住宅地域
浜松市中央区住吉1-15-7,34.728344,137.724762,exact,2026,114000,37.7,89000,247,4.0,特定用途制限地域など特例,60,200,浜松,3600,戸建住宅を中心に共同住宅等も見られる住宅地域
浜松市中央区住吉3-12-31,34.728344,137.724762,exact,2026,109000,36.0,86000,577,25.0,第二種中高層住居専用地域,80,300,浜松,4000,営業所、飲食、物販店舗が建ち並ぶ路線商業地域
浜松市中央区佐藤1-24-2,34.712879,137.744385,exact,2026,98800,32.7,79000,153,8.0,第二種中高層住居専用地域,80,200,浜松,1900,店舗、事務所、住宅等が建ち並ぶ商業地域
浜松市中央区佐藤3-7-6,34.712879,137.744385,exact,2026,111000,36.7,88000,182,32.0,第二種中高層住居専用地域,80,300,浜松,2300,中低層の店舗等が建ち並ぶ路線商業地域
浜松市中央区佐鳴台2-9-5,34.703594,137.700989,exact,2026,130000,43.0,100000,249,6.0,工業専用地域,60,200,浜松,3900,中規模一般住宅が多い区画整然とした住宅地域
浜松市中央区佐鳴台5-11-4,34.703594,137.700989,exact,2026,104000,34.4,79000,330,6.0,工業専用地域,60,200,浜松,4100,中規模一般住宅が多い区画整然とした住宅地域
浜松市中央区元城町216番19,34.711349,137.726501,exact,2026,216000,71.4,170000,391,36.0,第一種住居地域,80,600,浜松,1200,中高層の事務所ビルが建ち並ぶ商業地域
浜松市中央区元浜町32番1,34.715229,137.732635,exact,2026,140000,46.3,105000,506,30.0,第一種住居地域,80,500,浜松,1400,中高層の店舗兼共同住宅等が見られる商業地域
浜松市中央区入野町字彦尾前726番1外,34.701485,137.682983,exact,2026,118000,39.0,93000,1204,25.0,都市計画区域外,60,200,浜松,3500,店舗、事務所が建ち並ぶ郊外の路線商業地域
浜松市中央区入野町字石荒山16416番9外,34.701485,137.682983,exact,2026,91300,30.2,72000,239,6.0,工業専用地域,60,200,浜松,6100,一般住宅が多い丘陵地の区画整理済の住宅地域
浜松市中央区八幡町字五丁目125番2外,34.715309,137.735886,exact,2026,115000,38.0,90000,123,29.0,第二種中高層住居専用地域,80,300,浜松,1400,中低層の店舗兼住宅等が多い駅近くの商業地域
浜松市中央区初生町1336番3,34.764103,137.727509,exact,2026,86500,28.6,68000,205,5.5,白地地域（都市計画区域内未指定）,60,200,浜松,8200,一般住宅が建ち並ぶ利便性のよい住宅地域
浜松市中央区助信町41-37,34.722408,137.735687,exact,2026,118000,39.0,88000,185,4.5,白地地域（都市計画区域内未指定）,60,200,助信,300,一般住宅のほかに事業所等が見られる住宅地域
浜松市中央区北島町字石畑396番1,34.730206,137.781448,exact,2026,72000,23.8,57000,187,5.5,白地地域（都市計画区域内未指定）,60,200,浜松,6500,中小規模の一般住宅が多い郊外の住宅地域
浜松市中央区向宿2-23-12,34.707256,137.751694,exact,2026,83800,27.7,67000,172,8.0,第二種中高層住居専用地域,80,200,浜松,1800,店舗、事務所等が建ち並ぶ国道沿いの商業地域
浜松市中央区和合北4-29-7,34.736572,137.72084,exact,2026,77100,25.5,58000,241,5.5,工業専用地域,60,200,浜松,6100,中規模一般住宅が建ち並ぶ既成の住宅地域
浜松市中央区和合町字村東936番410,34.741009,137.709732,exact,2026,61800,20.4,49000,307,6.0,準工業地域,40,60,浜松,5800,農家と一般住宅が混在し畑も見られる住宅地域
