市区町村,地区名,lat,lon,位置精度,種類,時期,取引時期,面積m2,坪単価万円,m2単価円,総額円,地域,用途地域,建蔽率,容積率,最寄駅,駅距離,前面道路幅員m,土地形状,今後の利用目的
浜松市中央区,三方原町,34.781647,137.711975,exact,宅地(土地),2026Q1,2026年第1四半期,250.0,9.7,29000,7300000,住宅地,調整区域,60.0,200.0,浜松,2H～,7.3,ほぼ長方形,
浜松市中央区,三方原町,34.781647,137.711975,exact,宅地(土地),2026Q1,2026年第1四半期,380.0,19.0,59000,23000000,住宅地,調整区域,60.0,200.0,浜松,1H30～2H,5.4,ほぼ台形,住宅
浜松市中央区,三方原町,34.781647,137.711975,exact,宅地(土地),2026Q1,2026年第1四半期,250.0,24.0,72000,18000000,住宅地,調整区域,60.0,200.0,浜松,2H～,11.1,長方形,住宅
浜松市中央区,三方原町,34.781647,137.711975,exact,宅地(土地),2026Q1,2026年第1四半期,380.0,7.5,23000,8700000,住宅地,調整区域,60.0,200.0,浜松,2H～,7.3,袋地等,住宅
浜松市中央区,三方原町,34.781647,137.711975,exact,宅地(土地),2026Q1,2026年第1四半期,280.0,15.0,44000,12000000,住宅地,調整区域,60.0,200.0,浜松,2H～,5.8,長方形,住宅
浜松市中央区,三方原町,34.781647,137.711975,exact,宅地(土地),2026Q1,2026年第1四半期,70.0,50.0,150000,11000000,住宅地,調整区域,60.0,200.0,浜松,1H30～2H,4.5,長方形,その他
浜松市中央区,中島,34.705391,137.746933,exact,宅地(土地),2026Q1,2026年第1四半期,105.0,27.0,81000,8500000,住宅地,近隣商業,80.0,200.0,浜松,16,8.0,ほぼ長方形,住宅
浜松市中央区,中沢町,34.721622,137.728867,exact,宅地(土地),2026Q1,2026年第1四半期,360.0,17.0,51000,18000000,住宅地,近隣商業,80.0,300.0,浜松,28,3.8,不整形,住宅
浜松市中央区,中郡町,34.773895,137.77951,exact,宅地(土地),2026Q1,2026年第1四半期,320.0,10.0,31000,10000000,宅地見込地,調整区域,60.0,200.0,浜松,2H～,3.6,ほぼ長方形,住宅
浜松市中央区,佐鳴台,34.703594,137.700989,exact,宅地(土地),2026Q1,2026年第1四半期,440.0,41.0,120000,55000000,商業地,１種住居,60.0,200.0,浜松,30分～60分,20.0,長方形,その他
浜松市中央区,佐鳴台,34.703594,137.700989,exact,宅地(土地),2026Q1,2026年第1四半期,155.0,48.0,140000,22000000,住宅地,１種住居,60.0,200.0,浜松,30分～60分,6.0,長方形,住宅
浜松市中央区,初生町,34.764103,137.727509,exact,宅地(土地),2026Q1,2026年第1四半期,300.0,21.0,64000,19000000,住宅地,調整区域,60.0,200.0,浜松,1H30～2H,8.0,袋地等,住宅
浜松市中央区,初生町,34.764103,137.727509,exact,宅地(土地),2026Q1,2026年第1四半期,1000.0,37.0,110000,110000000,商業地,２種住居,60.0,200.0,浜松,1H30～2H,19.5,不整形,事務所
浜松市中央区,北島町,34.730206,137.781448,exact,宅地(土地),2026Q1,2026年第1四半期,610.0,16.0,49000,30000000,住宅地,１種住居,60.0,200.0,浜松,1H～1H30,4.3,袋地等,
浜松市中央区,半田山,34.768318,137.743042,exact,宅地(土地),2026Q1,2026年第1四半期,150.0,27.0,83000,12000000,住宅地,２中住専,60.0,200.0,浜松,1H30～2H,6.0,ほぼ正方形,
浜松市中央区,半田山,34.768318,137.743042,exact,宅地(土地),2026Q1,2026年第1四半期,460.0,40.0,120000,55000000,住宅地,１中住専,60.0,200.0,浜松,1H30～2H,6.0,長方形,その他
浜松市中央区,半田町,34.771557,137.750366,exact,宅地(土地),2026Q1,2026年第1四半期,480.0,4.3,13000,6300000,住宅地,調整区域,60.0,200.0,浜松,1H30～2H,8.0,台形,店舗
浜松市中央区,四本松町,34.684258,137.7677,exact,宅地(土地),2026Q1,2026年第1四半期,230.0,21.0,64000,15000000,住宅地,調整区域,60.0,200.0,浜松,30分～60分,6.5,ほぼ長方形,住宅
浜松市中央区,大原町,34.799492,137.737503,exact,宅地(土地),2026Q1,2026年第1四半期,1500.0,3.0,9100,14000000,住宅地,調整区域,60.0,200.0,浜松,2H～,6.6,長方形,
浜松市中央区,子安町,34.713894,137.763031,exact,宅地(土地),2026Q1,2026年第1四半期,620.0,36.0,110000,67000000,商業地,近隣商業,80.0,200.0,浜松,30分～60分,20.0,ほぼ台形,その他
浜松市中央区,富塚町,34.726589,137.700714,exact,宅地(土地),2026Q1,2026年第1四半期,1100.0,30.0,91000,99000000,商業地,１低住専,50.0,80.0,浜松,30分～60分,16.0,ほぼ正方形,住宅
浜松市中央区,寺島町,34.698948,137.738113,exact,宅地(土地),2026Q1,2026年第1四半期,50.0,19.0,57000,3000000,住宅地,近隣商業,80.0,300.0,浜松,9,8.0,ほぼ整形,その他
浜松市中央区,小池町,34.747826,137.758209,exact,宅地(土地),2026Q1,2026年第1四半期,100.0,18.0,56000,5600000,住宅地,工業,60.0,200.0,浜松,1H～1H30,2.8,台形,住宅
浜松市中央区,小池町,34.747826,137.758209,exact,宅地(土地),2026Q1,2026年第1四半期,170.0,33.0,99000,17000000,住宅地,１種住居,60.0,200.0,浜松,1H30～2H,4.3,長方形,
浜松市中央区,小豆餅,34.753941,137.724457,exact,宅地(土地),2026Q1,2026年第1四半期,185.0,23.0,70000,13000000,住宅地,１種住居,60.0,200.0,浜松,1H～1H30,4.0,ほぼ長方形,住宅
浜松市中央区,布橋,34.719868,137.720322,exact,宅地(土地),2026Q1,2026年第1四半期,70.0,35.0,110000,7300000,商業地,近隣商業,80.0,200.0,浜松,30分～60分,11.0,長方形,その他
浜松市中央区,布橋,34.719868,137.720322,exact,宅地(土地),2026Q1,2026年第1四半期,30.0,21.0,64000,2000000,住宅地,２中住専,60.0,200.0,浜松,29,10.4,台形,その他
浜松市中央区,布橋,34.719868,137.720322,exact,宅地(土地),2026Q1,2026年第1四半期,270.0,56.0,170000,46000000,住宅地,１種住居,60.0,200.0,浜松,30分～60分,6.5,長方形,その他
浜松市中央区,早出町,34.733162,137.749298,exact,宅地(土地),2026Q1,2026年第1四半期,230.0,25.0,76000,18000000,住宅地,１種住居,60.0,200.0,浜松,30分～60分,6.0,ほぼ台形,
浜松市中央区,曳馬,34.72805,137.738464,exact,宅地(土地),2026Q1,2026年第1四半期,290.0,40.0,120000,35000000,住宅地,１種住居,60.0,200.0,浜松,30分～60分,8.5,ほぼ長方形,事務所
浜松市中央区,有玉北町,34.767532,137.753937,exact,宅地(土地),2026Q1,2026年第1四半期,200.0,30.0,91000,19000000,住宅地,調整区域,60.0,200.0,浜松,1H30～2H,4.2,ほぼ台形,住宅
浜松市中央区,有玉北町,34.767532,137.753937,exact,宅地(土地),2026Q1,2026年第1四半期,460.0,7.0,21000,9700000,住宅地,調整区域,60.0,200.0,浜松,1H～1H30,8.3,ほぼ台形,
浜松市中央区,有玉台,34.760178,137.73912,exact,宅地(土地),2026Q1,2026年第1四半期,260.0,31.0,94000,25000000,住宅地,１中住専,60.0,200.0,浜松,1H30～2H,7.2,長方形,住宅
浜松市中央区,有玉西町,34.755665,137.738083,exact,宅地(土地),2026Q1,2026年第1四半期,165.0,30.0,90000,15000000,商業地,１種住居,60.0,200.0,浜松,1H～1H30,12.6,ほぼ台形,住宅
浜松市中央区,東三方町,34.77961,137.73024,exact,宅地(土地),2026Q1,2026年第1四半期,,15.0,44000,240000000,工業地,調整区域,60.0,200.0,浜松,1H30～2H,7.4,長方形,工場
浜松市中央区,根洗町,34.79678,137.704224,exact,宅地(土地),2026Q1,2026年第1四半期,860.0,11.0,32000,28000000,宅地見込地,調整区域,60.0,200.0,浜松,2H～,10.0,長方形,その他
浜松市中央区,楊子町,34.693932,137.746124,exact,宅地(土地),2026Q1,2026年第1四半期,170.0,26.0,78000,13000000,住宅地,１種住居,60.0,200.0,浜松,28,7.3,長方形,事務所
浜松市中央区,海老塚,34.699268,137.729996,exact,宅地(土地),2026Q1,2026年第1四半期,500.0,47.0,140000,70000000,商業地,商業,80.0,500.0,浜松,8,6.0,不整形,住宅
浜松市中央区,田町,34.708363,137.730972,exact,宅地(土地),2026Q1,2026年第1四半期,85.0,55.0,170000,14000000,商業地,商業,80.0,600.0,浜松,11,6.0,ほぼ台形,その他
浜松市中央区,白羽町,34.672405,137.73172,exact,宅地(土地),2026Q1,2026年第1四半期,55.0,6.1,19000,1000000,住宅地,２中住専,60.0,200.0,浜松,1H～1H30,8.7,ほぼ長方形,倉庫
浜松市中央区,神ケ谷町,34.723148,137.678253,exact,宅地(土地),2026Q1,2026年第1四半期,330.0,4.1,12000,4000000,住宅地,調整区域,60.0,200.0,浜松,1H30～2H,10.5,不整形,
