No,物件種目,住所,登録価格（万円）,成約価格（万円）,交通,土地権利,建ぺい率,用途地域,坪単価（万円）,容積率,土地面積（㎡）,土地面積（坪）,公開日,成約日,私道面積,私道持分,条件
445,売地,掛川市薗ケ谷,980,800,バス停,所有権,60,工業地域,6.5,200,507,151,2024/1/23,2024/3/18,-,-,現況渡し
479,売地,掛川市横須賀295,750,750,東海道本線/バス停,所有権,60,１種住居,6.1,200,413.19,123,2024/4/23,2024/6/20,-,-,現況渡し
473,売地,掛川市沖之須,260,235,東海道本線,所有権,60,無指定,4.1,200,214.31,64,2024/7/28,-,-,-,現況渡し
438,売地,掛川市下垂木1423,590,590,東海道本線,所有権,60,無指定,10.0,200,197.35,59,2023/3/25,2023/5/13,-,-,現況渡し
439,売地,掛川市下垂木1785-3,700,700,天竜浜名湖鉄道,所有権,50,１種低層,7.3,80,320,95,2023/8/26,2023/11/9,-,-,現況渡し
441,売地,掛川市下垂木２２９３－５,1060,1060,天竜浜名湖鉄道,所有権,60,１種住居,18.7,200,190.16,57,2024/4/17,2024/6/4,-,-,現況渡し
440,売地,掛川市下垂木2297-3,780,780,天竜浜名湖鉄道,所有権,60,１種住居,12.1,200,215.57,64,2023/9/6,2023/9/29,-,-,更地渡し
442,売地,掛川市下垂木578-41,48,1000,東海道本線,所有権,60,無指定,0.7,200,227.69,68,2023/8/18,2023/9/17,-,-,現況渡し
476,売地,掛川市下土方,500,450,バス停,所有権,60,無指定,4.9,200,342,102,2023/10/27,2023/12/23,-,-,相談
443,売地,掛川市下俣1021,1500,1500,東海道本線/バス停,所有権,60,-,19.4,150,259.75,77,2023/10/26,2023/12/15,-,-,更地渡し
421,売地,掛川市家代,650,225,バス停,所有権,60,無指定,7.3,200,297.52,89,2023/10/25,2023/12/8,-,-,相談
469,売地,掛川市家代の里３丁目19,1470,1470,天竜浜名湖鉄道,所有権,50,１種低層,20.3,80,243.06,72,2023/11/28,2023/12/9,-,-,更地渡し
425,売地,掛川市各和,1250,1000,天竜浜名湖鉄道,所有権,60,無指定,5.0,200,835.97,249,2024/8/11,2024/10/17,-,-,相談
436,売地,掛川市逆川,400,370,バス停,所有権,60,無指定,7.8,200,173,52,2023/6/14,2023/7/22,-,-,相談
437,売地,掛川市逆川,500,500,バス停,所有権,60,無指定,6.4,200,264,79,2023/6/14,2023/7/16,-,-,相談
460,売地,掛川市宮脇1059-2,1263,1263,東海道本線,所有権,30,１種低層,14.8,50,287.34,86,2024/2/26,2024/5/6,-,-,更地渡し
458,売地,掛川市宮脇282-2,962,962,東海道本線,所有権,60,-,15.5,150,208.45,62,2024/3/1,2024/4/11,-,-,建築条件付
461,売地,掛川市宮脇492-5,3500,2000,東海道本線,所有権,60,-,11.8,150,998.55,297,2024/3/27,2024/4/4,-,-,現況渡し
457,売地,掛川市宮脇492-5１号地,900,900,東海道本線,所有権,60,-,14.5,150,208.21,62,2024/12/21,2025/1/23,-,-,更地渡し
459,売地,掛川市宮脇字五輪田宮脇1号地,990,940,東海道本線/バス停,所有権,60,１種住居,13.2,200,251.37,75,2023/5/23,2023/7/29,-,-,建築条件付
435,売地,掛川市五明,1200,1180,バス停/バス停,所有権,60,無指定,8.9,200,451,134,2023/10/21,2023/11/18,-,-,相談
434,売地,掛川市高御所,1950,1900,東海道本線,所有権,60,１種住居,15.3,200,429,128,2023/7/11,2023/7/24,-,-,相談
433,売地,掛川市高御所,550,500,バス停,所有権,60,工業地域,7.5,200,245.23,73,2025/1/24,2025/2/15,-,-,相談
477,売地,掛川市高瀬1229-71229-7,200,200,ＪＲ東海道新幹線/バス停/バス停,所有権,60,無指定,3.1,200,214.94,64,2024/11/5,2024/11/6,-,-,現況渡し
453,売地,掛川市細谷,800,600,天竜浜名湖鉄道,所有権,60,無指定,3.2,200,831.29,248,2023/8/9,2023/8/27,-,-,相談
450,売地,掛川市七日町,1170,1100,東海道本線,所有権,50,-,18.3,80,214.99,64,2023/4/10,2023/4/28,-,-,現況渡し
444,売地,掛川市十九首,2573,2100,バス停,所有権,80,近隣商業,20.3,200,425.31,127,2024/9/20,2024/11/29,-,-,相談
429,売地,掛川市上西郷,980,940,バス停,所有権,60,無指定,15.4,200,213.51,64,2023/4/24,2023/7/1,-,-,更地渡し
430,売地,掛川市上西郷,1000,980,バス停,所有権,60,無指定,9.0,200,373.17,111,2024/11/25,2025/2/22,-,-,現況渡し
431,売地,掛川市上西郷,1080,980,バス停,所有権,60,無指定,6.6,200,551.43,164,2024/12/26,2025/3/9,-,-,相談
427,売地,掛川市上西郷,600,600,バス停/バス停,所有権,60,無指定,5.7,200,354,105,2023/5/10,2023/5/15,-,-,相談
432,売地,掛川市上西郷,78,78,バス停,所有権,60,無指定,0.3,200,949.22,283,2023/9/14,2023/10/10,-,-,相談
428,売地,掛川市上西郷2097-7,945,945,東海道本線,所有権,60,無指定,12.0,200,264.32,79,2024/11/9,2024/11/9,-,-,更地渡し
426,売地,掛川市上西郷2165-2,537,537,東海道本線,所有権,60,-,10.1,200,177.83,53,2024/8/3,2024/8/3,-,-,現況渡し
420,売地,掛川市上張829-7.839-2,900,900,東海道本線,所有権,60,無指定,9.0,200,337,100,2024/10/12,2024/11/1,-,-,現況渡し
474,売地,掛川市上土方430-8,550,550,東海道本線,所有権,60,-,6.2,200,300,89,2025/2/23,2025/3/30,-,-,更地渡し
475,売地,掛川市上土方落合1240-1の一部,556,556,バス停/バス停/バス停,所有権,60,無指定,5.2,200,360,107,2024/3/11,2024/5/3,-,-,現況渡し
467,売地,掛川市城西１丁目8-25,1198,1098,東海道本線/バス停,所有権,60,２種中高,20.0,150,201.42,60,2024/8/14,2024/9/15,-,-,現況渡し
468,売地,掛川市城西２丁目685-5,1310,1200,東海道本線,所有権,60,-,19.7,200,223,66,2025/1/21,2025/2/1,-,-,更地渡し
463,売地,掛川市城北２丁目,980,980,バス停,所有権,50,１種低層,14.6,80,224.93,67,2024/8/13,2024/9/7,-,-,更地渡し
464,売地,掛川市城北２丁目9番2号,1450,1450,東海道本線,所有権,50,１種低層,18.9,80,257.73,77,2024/6/27,2024/7/1,-,-,更地渡し
452,売地,掛川市仁藤117-22号地,1330,1330,東海道本線,所有権,60,-,21.0,150,212.92,63,2024/7/19,2024/7/28,-,-,現況渡し
456,売地,掛川市水垂331-4,1090,1090,東海道本線,所有権,30,１種住居,7.9,50,461,137,2023/9/16,2023/9/30,-,-,現況渡し
451,売地,掛川市成滝576,1750,1750,ＪＲ東海道新幹線/バス停,所有権,60,１種住居,11.4,200,517,154,2023/8/5,2023/10/5,-,-,更地渡し
