No,物件種目,住所,登録価格（万円）,成約価格（万円）,交通,土地権利,建ぺい率,用途地域,坪単価（万円）,容積率,土地面積（㎡）,土地面積（坪）,公開日,成約日,私道面積,私道持分,条件,latitude,longitude
445,売地,掛川市薗ケ谷,980.0,800.0,バス停,所有権,60,工業地域,6.5,200,507.0,151,2024/1/23,2024/3/18,-,-,現況渡し,34.7839026,138.0419154
479,売地,掛川市横須賀295,750.0,750.0,東海道本線/バス停,所有権,60,１種住居,6.1,200,413.19,123,2024/4/23,2024/6/20,-,-,現況渡し,34.6833689,137.9751209
473,売地,掛川市沖之須,260.0,235.0,東海道本線,所有権,60,無指定,4.1,200,214.31,64,2024/7/28,-,-,-,現況渡し,34.6669849,137.9836915
438,売地,掛川市下垂木1423,590.0,590.0,東海道本線,所有権,60,無指定,10.0,200,197.35,59,2023/3/25,2023/5/13,-,-,現況渡し,34.7876715,137.9857685
439,売地,掛川市下垂木1785-3,700.0,700.0,天竜浜名湖鉄道,所有権,50,１種低層,7.3,80,320.0,95,2023/8/26,2023/11/9,-,-,現況渡し,34.7856951,137.9841497
441,売地,掛川市下垂木２２９３－５,1060.0,1060.0,天竜浜名湖鉄道,所有権,60,１種住居,18.7,200,190.16,57,2024/4/17,2024/6/4,-,-,現況渡し,34.7876715,137.9857685
440,売地,掛川市下垂木2297-3,780.0,780.0,天竜浜名湖鉄道,所有権,60,１種住居,12.1,200,215.57,64,2023/9/6,2023/9/29,-,-,更地渡し,34.7876715,137.9857685
442,売地,掛川市下垂木578-41,48.0,1000.0,東海道本線,所有権,60,無指定,0.7,200,227.69,68,2023/8/18,2023/9/17,-,-,現況渡し,34.7935159,137.9906466
476,売地,掛川市下土方,500.0,450.0,バス停,所有権,60,無指定,4.9,200,342.0,102,2023/10/27,2023/12/23,-,-,相談,34.6965902,138.0431549
443,売地,掛川市下俣1021,1500.0,1500.0,東海道本線/バス停,所有権,60,-,19.4,150,259.75,77,2023/10/26,2023/12/15,-,-,更地渡し,34.7729219,138.0015381
421,売地,掛川市家代,650.0,225.0,バス停,所有権,60,無指定,7.3,200,297.52,89,2023/10/25,2023/12/8,-,-,相談,34.7971481,137.9787391
