No,物件種目,所在地,建物名/部屋番号,公開日,登録価格（万円）,坪単価（万円）,交通,土地面積（㎡）,土地権利,建ぺい率,容積率,用途地域,私道面積,私道持分,築年月,建物構造,物件構造,階建/階,取引態様,利回り,保証金,広告転載,条件等,登録会員,TEL,lat,lng
1,売地,浜松市中央区葵西６丁目,-,2026/05/19,97,34.97,-,369.67,所有権,60,-,工業地域,-,-,-,-,-,-,一般,-,-,要確認,更地渡し,(株)マストレ 高林支店,053-472-5656,34.7700018,137.7015245
2,売地,"浜松市中央区有玉北町2182,2183",-,2026/04/27,5250,15.01,徒歩11分,1157.0,所有権,-,-,無指定,-,-,-,-,-,-,媒介,-,-,転載不可,現況渡し,(株)五興不動産開発,053-413-2625,34.7604579,137.7518431
3,売地,浜松市中央区有玉台２丁目,-,2026/06/01,3700,20.74,徒歩24分,590.0,所有権,60,-,1種中高,-,-,-,-,-,-,一般,-,-,転載不可,相談,浜松損害保険サービス(株),053-459-4180,34.7623101,137.7421827
4,売地,浜松市中央区有玉西町,-,2026/05/29,66,26.66,-,432.9,所有権,60,-,無指定,-,-,-,-,-,-,専任,-,-,転載不可,更地渡し,センチュリー21中央不動産浜松店,053-584-0021,34.7508347,137.7363053
5,売地,浜松市中央区有玉南町,-,2026/04/07,950,8.07,徒歩19分,389.3,所有権,-,-,無指定,-,-,-,-,-,-,一般,-,-,転載不可,現況渡し,ミタカ不動産(株) 本店,058-246-4770,34.7533433,137.7464967
6,売地,浜松市中央区有玉南町1160-1他,-,2026/05/28,11002277,7.01,バス停 有玉神社停 停歩8分,485.0,所有権,60,-,-,-,-,-,-,-,-,一般,-,-,転載可,現況渡し,FP・マンション管理士事務所 あんず,053-545-6500,34.7533433,137.7464967
7,売地,浜松市中央区有玉南町３９５－１,-,2026/05/05,1100,7.38,徒歩5分,493.0,所有権,60,-,無指定,-,-,-,-,-,-,一般,-,-,転載不可,現況渡し,遠州鉄道(株) 浜北店,053-581-1124,34.7567296,137.7543202
8,売地,浜松市中央区有玉南町,-,2026/05/04,2754,9.01,徒歩14分,1011.0,所有権,-,-,-,-,-,-,-,-,-,一般,-,-,要確認,現況渡し,ミタカ不動産(株) 本店,058-246-4770,34.7533433,137.7464967
9,売地,"浜松市中央区有玉南町175-1,175-2",-,2026/05/28,5000,22.77,徒歩8分,726.0,所有権,60,-,無指定,-,-,-,-,-,-,媒介,-,-,転載不可,現況渡し,(株)リンク,053-424-5000,34.7532472,137.7544943
10,売地,浜松市中央区有玉南町,-,2026/05/04,6200,10.04,徒歩15分,2042.0,所有権,-,-,取引態様,-,-,-,-,-,-,一般,-,-,要確認,現況渡し,ミタカ不動産(株) 本店,058-246-4770,34.7533433,137.7464967
11,売地,浜松市中央区有玉南町1643,-,2026/04/13,11000,31.66,徒歩7分,1148.66,所有権,60,-,無指定,-,-,-,-,-,-,売主,-,-,転載不可,現況渡し,(株)エステート・パートナー,053-443-8856,34.7509216,137.7511978
12,売地,浜松市中央区安間町516-1,-,2026/05/18,1360,7.99,東海道本線 天竜川 徒歩18分,563.39,所有権,60,-,無指定,-,-,-,-,-,-,媒介,-,-,転載不可,現況渡し,(株)トレスト,053-459-0811,34.7210845,137.790504
13,売地,浜松市中央区飯田町,-,2026/05/25,1084,5,東海道本線 天竜川 徒歩28分,717.0,所有権,60,-,無指定,-,-,-,-,-,-,一般,-,-,転載不可,現況渡し,(株)AFCスマイルプラス Smife浜松西支店,053-449-7111,34.7067664,137.7760883
14,売地,浜松市中央区飯田町885,-,2026/05/17,1084,5,東海道本線 天竜川 徒歩18分,717.0,所有権,60,-,無指定,-,-,-,-,-,-,一般,-,-,転載可,現況渡し,みき不動産(株),053-581-9266,34.7067664,137.7760883
15,売地,浜松市中央区飯田町８８５,-,2026/05/16,11008844,5,バス停 東部中学入口 停歩7分,717.0,所有権,60,-,無指定,-,-,-,-,-,-,一般,-,-,転載不可,現況渡し,遠州鉄道(株) 事業用不動産流通グループ,053-488-8811,34.7067664,137.7760883
16,売地,浜松市中央区飯田町885,-,2026/04/30,77,5,-,717.0,所有権,-,-,-,-,-,-,-,-,-,媒介,-,-,転載不可,現況渡し,とぴあ浜松農業協同組合不動産センター有玉店,053-476-3152,34.7067664,137.7760883
17,売地,浜松市中央区伊左地町2294-1の一部,-,2026/05/17,770000,6.76,-,342.81,所有権,60,-,無指定,-,-,-,-,-,-,媒介,-,-,転載不可,建築条件付,ひだまり工房(株),053-596-3900,34.7456974,137.6654485
18,売地,浜松市中央区伊左地町8858・8860,-,2026/04/17,1104,3,-,1218.0,所有権,60,-,-,-,-,-,-,-,-,媒介,-,-,転載不可,相談,(有)ほんま不動産,053-461-3345,34.7456974,137.6654485
19,売地,浜松市中央区伊左地町,-,2026/05/09,78,1.78,-,3634.0,所有権,60,-,無指定,-,-,-,-,-,-,一般,-,-,転載不可,現況渡し,浜松損害保険サービス(株),053-459-4180,34.7456974,137.6654485
20,売地,浜松市中央区伊左地町字前原2818-1,-,2026/05/02,22997755,5,バス停 遠鉄バス 前平停留所 停歩8分,1967.0,所有権,60,-,取引態様,-,-,-,-,-,-,一般,-,-,転載不可,現況渡し,川井建設(株),053-461-9491,34.7456974,137.6654485
21,売地,浜松市中央区伊左地町２４４９－１,-,2026/04/16,33550000,3.77,バス停 前平バス 停歩3分,3076.0,所有権,60,-,-,-,-,-,-,-,-,専属専任,-,-,要確認,現況渡し,(有)住まいる不動産,053-437-2490,34.7430822,137.6767975
22,売地,浜松市中央区伊左地町8422、8423,-,2026/04/03,-,10,-,1573.84,所有権,60,-,-,-,-,-,-,-,-,媒介,-,-,転載不可,現況渡し,クリエイト・ジャパン浜松西(株),053-447-7941,34.7456974,137.6654485
23,売地,浜松市中央区伊左地町7964他,-,2026/04/30,11825,8.51,-,4599.0,所有権,60,-,無指定,-,-,-,-,-,-,媒介,-,-,転載不可,相談,ホームパートナー(株),053-525-0755,34.7456974,137.6654485
24,売地,浜松市中央区石原町,-,2026/06/01,115500,1.32,バス停 石原西 停歩1分,378.0,所有権,60,-,無指定,-,-,-,-,-,-,一般,-,-,転載不可,現況渡し,あららぎ不動産(株),053-464-5557,34.6918443,137.7717718
